Timestamp,Pred_X,Pred_Y,Pred_Z,Q_X,Q_Y,Q_Z,Q_W
1653512819.974014044,0.006784091,0.011145506,0.054352280,0.999825120,-0.002771359,0.018171232,-0.003451246
1653512820.041181087,0.006784091,0.011145506,0.054352280,0.999825120,-0.002771359,0.018171232,-0.003451246
1653512820.108040333,0.008776871,0.016908061,0.059011910,0.999805570,-0.002059132,0.019274537,-0.003614231
1653512820.174011230,0.008776871,0.016908061,0.059011910,0.999805570,-0.002059132,0.019274537,-0.003614231
1653512820.253572702,0.010559602,0.018131291,0.065142587,0.999780953,-0.001916576,0.020376202,-0.004378681
1653512820.307587862,0.010559602,0.018131291,0.065142587,0.999780953,-0.001916576,0.020376202,-0.004378681
1653512820.374381781,0.010586294,0.015551902,0.073337033,0.999774098,-0.002676895,0.020703837,-0.003986882
1653512820.440673590,0.010586294,0.015551902,0.073337033,0.999774098,-0.002676895,0.020703837,-0.003986882
1653512820.507613420,0.011778136,0.007008115,0.080576174,0.999770641,-0.004673887,0.020441690,-0.004355026
1653512820.573939562,0.011778136,0.007008115,0.080576174,0.999770641,-0.004673887,0.020441690,-0.004355026
1653512820.640833378,0.017678481,-0.005313016,0.091771573,0.999757051,-0.006871508,0.020451276,-0.004510250
1653512820.707390785,0.017678481,-0.005313016,0.091771573,0.999757051,-0.006871508,0.020451276,-0.004510250
1653512820.774464369,0.028728548,-0.027092012,0.108728617,0.999726832,-0.009286587,0.021312416,-0.002417596
1653512820.840949297,0.028728548,-0.027092012,0.108728617,0.999726832,-0.009286587,0.021312416,-0.002417596
1653512820.907406807,0.044956647,-0.057939008,0.130531102,0.999661922,-0.012355187,0.022782480,0.002093236
1653512820.975776911,0.044956647,-0.057939008,0.130531102,0.999661922,-0.012355187,0.022782480,0.002093236
1653512821.044144869,0.068851344,-0.098025486,0.167602673,0.999523640,-0.015827604,0.025014097,0.008735170
1653512821.107654095,0.068851344,-0.098025486,0.167602673,0.999523640,-0.015827604,0.025014097,0.008735170
1653512821.175495625,0.097433381,-0.141732827,0.211935222,0.999313116,-0.019693913,0.027497770,0.015141923
1653512821.240549326,0.097433381,-0.141732827,0.211935222,0.999313116,-0.019693913,0.027497770,0.015141923
1653512821.308590174,0.130334750,-0.184404865,0.263829857,0.998987734,-0.025643641,0.030549059,0.020801174
1653512821.374742746,0.130334750,-0.184404865,0.263829857,0.998987734,-0.025643641,0.030549059,0.020801174
1653512821.445966959,0.167286485,-0.219157442,0.325850785,0.998660505,-0.031899389,0.033578865,0.023066066
1653512821.508145571,0.167286485,-0.219157442,0.325850785,0.998660505,-0.031899389,0.033578865,0.023066066
1653512821.575905085,0.204671174,-0.238033831,0.387837172,0.998444915,-0.036272202,0.035603821,0.022901330
1653512821.640893459,0.204671174,-0.238033831,0.387837172,0.998444915,-0.036272202,0.035603821,0.022901330
1653512821.708614826,0.240014553,-0.247790471,0.450711638,0.998192370,-0.040961836,0.038147926,0.021882080
1653512821.774208784,0.240014553,-0.247790471,0.450711638,0.998192370,-0.040961836,0.038147926,0.021882080
1653512821.840968847,0.275032848,-0.246475115,0.515530288,0.998068571,-0.043815479,0.039490771,0.019488811
1653512821.908558369,0.275032848,-0.246475115,0.515530288,0.998068571,-0.043815479,0.039490771,0.019488811
1653512821.975950718,0.311761409,-0.234052837,0.587422252,0.998043120,-0.044729762,0.040628400,0.016079793
1653512822.042683601,0.311761409,-0.234052837,0.587422252,0.998043120,-0.044729762,0.040628400,0.016079793
1653512822.108957052,0.349585712,-0.217968524,0.664258718,0.998014092,-0.045736030,0.041536286,0.012283266
1653512822.176400661,0.349585712,-0.217968524,0.664258718,0.998014092,-0.045736030,0.041536286,0.012283266
1653512822.241061449,0.383080125,-0.199490413,0.750403166,0.997940063,-0.046275772,0.043543916,0.008837286
1653512822.307558060,0.383080125,-0.199490413,0.750403166,0.997940063,-0.046275772,0.043543916,0.008837286
1653512822.374436378,0.416896105,-0.183360055,0.846634805,0.997808814,-0.047187030,0.045904346,0.006615232
1653512822.440723658,0.416896105,-0.183360055,0.846634805,0.997808814,-0.047187030,0.045904346,0.006615232
1653512822.508008718,0.450613528,-0.162976578,0.950665355,0.997696161,-0.046695132,0.048831426,0.006114440
1653512822.574147224,0.450613528,-0.162976578,0.950665355,0.997696161,-0.046695132,0.048831426,0.006114440
1653512822.644398451,0.484157890,-0.136816129,1.059420586,0.997636139,-0.044589669,0.051783565,0.007234273
1653512822.707651138,0.484157890,-0.136816129,1.059420586,0.997636139,-0.044589669,0.051783565,0.007234273
1653512822.774382114,0.509251535,-0.111929499,1.152338147,0.997627616,-0.042505190,0.053516198,0.008276035
1653512822.840927124,0.509251535,-0.111929499,1.152338147,0.997627616,-0.042505190,0.053516198,0.008276035
1653512822.907576799,0.528667569,-0.091555826,1.246209145,0.997613311,-0.041121010,0.054604415,0.009751471
1653512822.976459026,0.528667569,-0.091555826,1.246209145,0.997613311,-0.041121010,0.054604415,0.009751471
1653512823.040729761,0.549571395,-0.075813696,1.347974181,0.997624397,-0.041082658,0.053920325,0.012261271
1653512823.107409239,0.549571395,-0.075813696,1.347974181,0.997624397,-0.041082658,0.053920325,0.012261271
1653512823.174751043,0.565012991,-0.068081811,1.449202895,0.997585475,-0.043190431,0.052514728,0.014140602
1653512823.250014544,0.565012991,-0.068081811,1.449202895,0.997585475,-0.043190431,0.052514728,0.014140602
1653512823.309221268,0.577013552,-0.063068919,1.561521769,0.997488916,-0.046304747,0.051344480,0.015345309
1653512823.374339342,0.577013552,-0.063068919,1.561521769,0.997488916,-0.046304747,0.051344480,0.015345309
1653512823.448395729,0.586986780,-0.049485456,1.682046652,0.997368991,-0.049636323,0.050547238,0.015372807
1653512823.508929491,0.586986780,-0.049485456,1.682046652,0.997368991,-0.049636323,0.050547238,0.015372807
1653512823.574589729,0.593453169,-0.023748457,1.796693325,0.997400105,-0.050435930,0.049241371,0.014982820
1653512823.640715837,0.593453169,-0.023748457,1.796693325,0.997400105,-0.050435930,0.049241371,0.014982820
1653512823.707232952,0.595106184,0.014788694,1.918558598,0.997455537,-0.050766278,0.048304755,0.013112583
1653512823.774485350,0.595106184,0.014788694,1.918558598,0.997455537,-0.050766278,0.048304755,0.013112583
1653512823.840898991,0.597224414,0.062339909,2.056326866,0.997626483,-0.050314687,0.046040960,0.009487941
1653512823.909199715,0.597224414,0.062339909,2.056326866,0.997626483,-0.050314687,0.046040960,0.009487941
1653512823.974785089,0.597471714,0.119211249,2.199983597,0.997819602,-0.048453160,0.044515055,0.005176008
1653512824.040499210,0.597471714,0.119211249,2.199983597,0.997819602,-0.048453160,0.044515055,0.005176008
1653512824.107287645,0.593441606,0.176657945,2.346083164,0.997961998,-0.046544407,0.043650690,0.000252716
1653512824.175073385,0.593441606,0.176657945,2.346083164,0.997961998,-0.046544407,0.043650690,0.000252716
1653512824.241208553,0.587843955,0.233472481,2.493863821,0.998102725,-0.044084258,0.042863358,-0.003201456
1653512824.307614326,0.587843955,0.233472481,2.493863821,0.998102725,-0.044084258,0.042863358,-0.003201456
1653512824.374411106,0.581010103,0.276189089,2.644709587,0.998205841,-0.042272031,0.042240638,-0.003734796
1653512824.441324949,0.581010103,0.276189089,2.644709587,0.998205841,-0.042272031,0.042240638,-0.003734796
1653512824.508316278,0.571261048,0.296956539,2.793526649,0.998152435,-0.043230675,0.042485271,-0.004222917
1653512824.575622082,0.571261048,0.296956539,2.793526649,0.998152435,-0.043230675,0.042485271,-0.004222917
1653512824.641423941,0.563035011,0.315962911,2.961690664,0.998126268,-0.043658685,0.042861611,-0.000872810
1653512824.707599640,0.563035011,0.315962911,2.961690664,0.998126268,-0.043658685,0.042861611,-0.000872810
1653512824.776731730,0.553044200,0.328713626,3.135243177,0.998018861,-0.045212649,0.043604352,0.003585175
1653512824.840787888,0.553044200,0.328713626,3.135243177,0.998018861,-0.045212649,0.043604352,0.003585175
1653512824.908487797,0.548722029,0.346352071,3.309863329,0.997928202,-0.046939291,0.043338150,0.007602701
1653512824.974443913,0.548722029,0.346352071,3.309863329,0.997928202,-0.046939291,0.043338150,0.007602701
1653512825.040815830,0.546952069,0.366900653,3.483651161,0.997794926,-0.049049411,0.043648392,0.009711544
1653512825.107818604,0.546952069,0.366900653,3.483651161,0.997794926,-0.049049411,0.043648392,0.009711544
1653512825.175170422,0.546225309,0.392290652,3.656800747,0.997592926,-0.052457068,0.044237584,0.009980003
1653512825.240586758,0.546225309,0.392290652,3.656800747,0.997592926,-0.052457068,0.044237584,0.009980003
1653512825.307919025,0.538613021,0.413241386,3.823462248,0.997380912,-0.055215959,0.045739640,0.009510405
1653512825.374938488,0.538613021,0.413241386,3.823462248,0.997380912,-0.055215959,0.045739640,0.009510405
1653512825.441978216,0.528705955,0.430487126,3.981421232,0.997279584,-0.057021581,0.045887526,0.008733643
1653512825.507482290,0.528705955,0.430487126,3.981421232,0.997279584,-0.057021581,0.045887526,0.008733643
1653512825.573904276,0.519332349,0.454594493,4.122542381,0.997304440,-0.056983337,0.045304555,0.009176432
1653512825.640503645,0.519332349,0.454594493,4.122542381,0.997304440,-0.056983337,0.045304555,0.009176432
1653512825.707729578,0.517492592,0.481802672,4.275747299,0.997398376,-0.057651304,0.042506550,0.008120404
1653512825.777918339,0.517492592,0.481802672,4.275747299,0.997398376,-0.057651304,0.042506550,0.008120404
1653512825.840807438,0.509939075,0.508322775,4.422075272,0.997467339,-0.058426835,0.040075526,0.006262668
1653512825.907316208,0.509939075,0.508322775,4.422075272,0.997467339,-0.058426835,0.040075526,0.006262668
