Timestamp,Pred_X,Pred_Y,Pred_Z,Q_X,Q_Y,Q_Z,Q_W
1653512819.974014044,0.006784089,0.011145506,0.054352280,-0.999825092,0.002771361,-0.018171231,0.003451247
1653512820.041181087,0.006784089,0.011145506,0.054352280,-0.999825092,0.002771361,-0.018171231,0.003451247
1653512820.108040333,0.008776871,0.016908063,0.059011910,-0.999805576,0.002059131,-0.019274537,0.003614231
1653512820.174011230,0.008776871,0.016908063,0.059011910,-0.999805576,0.002059131,-0.019274537,0.003614231
1653512820.253572702,0.010559601,0.018131295,0.065142587,-0.999780958,0.001916576,-0.020376202,0.004378680
1653512820.307587862,0.010559601,0.018131295,0.065142587,-0.999780958,0.001916576,-0.020376202,0.004378680
1653512820.374381781,0.010586292,0.015551904,0.073337026,-0.999774120,0.002676895,-0.020703839,0.003986881
1653512820.440673590,0.010586292,0.015551904,0.073337026,-0.999774120,0.002676895,-0.020703839,0.003986881
1653512820.507613420,0.011778135,0.007008118,0.080576174,-0.999770637,0.004673887,-0.020441690,0.004355025
1653512820.573939562,0.011778135,0.007008118,0.080576174,-0.999770637,0.004673887,-0.020441690,0.004355025
1653512820.640833378,0.017678481,-0.005313013,0.091771573,-0.999757063,0.006871508,-0.020451276,0.004510249
1653512820.707390785,0.017678481,-0.005313013,0.091771573,-0.999757063,0.006871508,-0.020451276,0.004510249
1653512820.774464369,0.028728548,-0.027092008,0.108728610,-0.999726810,0.009286587,-0.021312416,0.002417595
1653512820.840949297,0.028728548,-0.027092008,0.108728610,-0.999726810,0.009286587,-0.021312416,0.002417595
1653512820.907406807,0.044968441,-0.057961360,0.130545437,-0.999661973,0.012356483,-0.022779789,-0.002082734
1653512820.975776911,0.044968441,-0.057961360,0.130545437,-0.999661973,0.012356483,-0.022779789,-0.002082734
1653512821.044144869,0.068851814,-0.098026261,0.167599902,-0.999523639,0.015827527,-0.025014844,-0.008731627
1653512821.107654095,0.068851814,-0.098026261,0.167599902,-0.999523639,0.015827527,-0.025014844,-0.008731627
1653512821.175495625,0.097433932,-0.141733795,0.211932689,-0.999313166,0.019693865,-0.027498640,-0.015138458
1653512821.240549326,0.097433932,-0.141733795,0.211932689,-0.999313166,0.019693865,-0.027498640,-0.015138458
1653512821.308590174,0.130335271,-0.184406623,0.263827205,-0.998987772,0.025643608,-0.030549874,-0.020797642
1653512821.374742746,0.130335271,-0.184406623,0.263827205,-0.998987772,0.025643608,-0.030549874,-0.020797642
1653512821.445966959,0.167286977,-0.219159648,0.325848073,-0.998660579,0.031899370,-0.033579700,-0.023062576
1653512821.508145571,0.167286977,-0.219159648,0.325848073,-0.998660579,0.031899370,-0.033579700,-0.023062576
1653512821.575905085,0.204671606,-0.238036484,0.387834400,-0.998444952,0.036272190,-0.035604685,-0.022897891
1653512821.640893459,0.204671606,-0.238036484,0.387834400,-0.998444952,0.036272190,-0.035604685,-0.022897891
1653512821.708614826,0.240014315,-0.247793153,0.450708330,-0.998192423,0.040961836,-0.038148865,-0.021878721
1653512821.774208784,0.240014315,-0.247793153,0.450708330,-0.998192423,0.040961836,-0.038148865,-0.021878721
1653512821.840968847,0.275032401,-0.246478274,0.515527070,-0.998068594,0.043815480,-0.039491766,-0.019485522
1653512821.908558369,0.275032401,-0.246478274,0.515527070,-0.998068594,0.043815480,-0.039491766,-0.019485522
1653512821.975950718,0.311760753,-0.234056517,0.587419391,-0.998043105,0.044729765,-0.040629457,-0.016076572
1653512822.042683601,0.311760753,-0.234056517,0.587419391,-0.998043105,0.044729765,-0.040629457,-0.016076572
1653512822.108957052,0.349585265,-0.217973024,0.664256752,-0.998014054,0.045736038,-0.041537472,-0.012280084
1653512822.176400661,0.349585265,-0.217973024,0.664256752,-0.998014054,0.045736038,-0.041537472,-0.012280084
1653512822.241061449,0.383078754,-0.199495047,0.750400484,-0.997940047,0.046275771,-0.043545044,-0.008834240
1653512822.307558060,0.383078754,-0.199495047,0.750400484,-0.997940047,0.046275771,-0.043545044,-0.008834240
1653512822.374436378,0.416894257,-0.183365121,0.846631885,-0.997808772,0.047187035,-0.045905505,-0.006612291
1653512822.440723658,0.416894257,-0.183365121,0.846631885,-0.997808772,0.047187035,-0.045905505,-0.006612291
1653512822.508008718,0.450612426,-0.162982225,0.950664639,-0.997696139,0.046695146,-0.048832632,-0.006111566
1653512822.574147224,0.450612426,-0.162982225,0.950664639,-0.997696139,0.046695146,-0.048832632,-0.006111566
