Frame,Pred_X,Pred_Y,Pred_Z,Q_X,Q_Y,Q_Z,Q_W
3793,0,0,0,0,0,0,1
3794,0,0,0,0,0,0,1
3795,0,0,0,0,0,0,1
3796,0.262828,-0.547825,-0.794235,-3.33558e-05,-9.22247e-05,-3.92123e-05,1
3797,0.262828,-0.547825,-0.794235,-3.33558e-05,-9.22247e-05,-3.92123e-05,1
3798,0.262828,-0.547825,-0.794235,-3.33558e-05,-9.22247e-05,-3.92123e-05,1
3799,1.24879,-0.463313,-0.650238,0.000190908,-0.00282877,0.000393371,0.999996
3800,0.674262,0.113805,-1.23063,0.000190908,-0.00282877,0.000393371,0.999996
3801,0.660599,-0.0786948,-0.249425,0.000156659,-0.00258298,0.000584239,0.999996
3802,0.660599,-0.0786948,-0.249425,0.000156659,-0.00258298,0.000584239,0.999996
3803,0.660599,-0.0786948,-0.249425,0.000156659,-0.00258298,0.000584239,0.999996
3804,0.226891,-0.0514148,-1.15007,9.3814e-05,-0.00258287,0.000528301,0.999997
3805,0.226891,-0.0514148,-1.15007,9.3814e-05,-0.00258287,0.000528301,0.999997
3806,0.226891,-0.0514148,-1.15007,9.3814e-05,-0.00258287,0.000528301,0.999997
3807,-0.156837,-0.028242,-0.22691,2.55791e-05,-0.00245873,0.000573233,0.999997
3808,-0.156837,-0.028242,-0.22691,2.55791e-05,-0.00245873,0.000573233,0.999997
3809,-0.156837,-0.028242,-0.22691,2.55791e-05,-0.00245873,0.000573233,0.999997
3810,-0.435834,0.0869605,-1.18027,-8.30275e-05,-0.00209551,0.00110557,0.999997
3811,-0.435834,0.0869605,-1.18027,-8.30275e-05,-0.00209551,0.00110557,0.999997
3812,-0.852639,-0.113999,-2.06677,-0.000320932,-0.001805,0.00162163,0.999997
3813,-0.852639,-0.113999,-2.06677,-0.000320932,-0.001805,0.00162163,0.999997
3814,-0.852639,-0.113999,-2.06677,-0.000320932,-0.001805,0.00162163,0.999997
3815,-0.389322,-0.162994,-2.95161,-0.000439239,-0.00178864,0.00148239,0.999997
3816,-0.389322,-0.162994,-2.95161,-0.000439239,-0.00178864,0.00148239,0.999997
3817,-0.389322,-0.162994,-2.95161,-0.000439239,-0.00178864,0.00148239,0.999997
3818,-1.30426,-0.420576,-2.64089,-0.000726724,-0.00170821,0.00156803,0.999997
3819,-1.30426,-0.420576,-2.64089,-0.000726724,-0.00170821,0.00156803,0.999997
3820,-1.95028,-0.297402,-1.88757,-0.000510032,-0.00174719,0.00142282,0.999997
3821,-1.95028,-0.297402,-1.88757,-0.000510032,-0.00174719,0.00142282,0.999997
3822,-1.65656,-0.350438,-0.93315,-0.000510031,-0.00174719,0.00142282,0.999997
