Frame,Pred_X,Pred_Y,Pred_Z,Q_X,Q_Y,Q_Z,Q_W
3793,0,0,0,0,0,0,1
3794,0,0,0,0,0,0,1
3795,0,0,0,0,0,0,1
3796,0,0,0,0,0,0,1
3797,0,0,0,0,0,0,1
3798,0,0,0,0,0,0,1
3799,0,0,0,0,0,0,1
3800,0,0,0,0,0,0,1
3801,0,0,0,0,0,0,1
3802,0,0,0,0,0,0,1
3803,0,0,0,0,0,0,1
3804,0,0,0,0,0,0,1
3805,0,0,0,0,0,0,1
3806,0,0,0,0,0,0,1
3807,0,0,0,0,0,0,1
3808,0,0,0,0,0,0,1
3809,0,0,0,0,0,0,1
3810,0,0,0,0,0,0,1
3811,0,0,0,0,0,0,1
3812,0,0,0,0,0,0,1
3813,0,0,0,0,0,0,1
3814,0,0,0,0,0,0,1
3815,0,0,0,0,0,0,1
3816,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3817,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3818,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3819,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3820,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3821,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3822,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3823,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3824,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3825,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3826,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3827,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3828,-0.0266431,0.189808,-0.98146,-0.000227324,-0.0001079,0.000151219,1
3829,-0.573068,-0.0910958,-0.192465,-0.000602271,-0.000114765,-0.000322543,1
3830,-0.573068,-0.0910958,-0.192465,-0.000602271,-0.000114765,-0.000322543,1
3831,-0.573068,-0.0910958,-0.192465,-0.000602271,-0.000114765,-0.000322543,1
3832,-0.637685,-1.08245,-0.306691,-0.00128313,-0.000129103,-7.12932e-05,0.999999
3833,-0.637685,-1.08245,-0.306691,-0.00128313,-0.000129103,-7.12932e-05,0.999999
3834,-0.637685,-1.08245,-0.306691,-0.00128313,-0.000129103,-7.12932e-05,0.999999
3835,-0.637685,-1.08245,-0.306691,-0.00128313,-0.000129103,-7.12932e-05,0.999999
3836,-0.637685,-1.08245,-0.306691,-0.00128313,-0.000129103,-7.12932e-05,0.999999
